eval_id,timestamp,fitness,ibn_coe,ibp_coe,rm_coe,cm_coe,fg_core_n1,fg_core_n3,fg_core_nd1,fg_core_p3,fg_core_mpp,m_core_mpp,stk_core_n1,stk_core_n3,stk_core_nd1,stk_core_p3,stk_core_mpp,ibn,ibp,rm,cm,fg_core_n1,fg_core_n3,fg_core_nd1,fg_core_p3,fg_core_mpp,m_core_mpp,stk_core_n1,stk_core_n3,stk_core_nd1,stk_core_p3,stk_core_mpp,vddval,vrefval,offset,min_load,max_load,dcop_check,load_regulation,line_regulation,vout_err,iq_maxload,psr_1meg,ugb_khz,av_db,pm_deg,region_MND1,region_MN1,region_MN3,region_MP3,region_MPP
1,2026-04-21T20:14:08,-195.644762,41,14,5,12,72,69,100,8,158,24,1,1,3,2,4,41,14,5000,169,72,69,100,8,158,24,1,1,3,2,4,1.2,0.6,0.12,8000,16,0,4807,1000,519,61320,0,-1,-1,-1,1,1,0,0,1
2,2026-04-21T20:14:28,-195.644793,14,3,7,15,23,47,29,23,174,26,6,2,7,3,4,14,3,9380,256,23,47,29,23,174,26,6,2,7,3,4,1.2,0.6,0.12,8000,16,0,4808,1000,519,62962,0,-1,-1,-1,1,1,0,0,1
3,2026-04-21T20:14:47,-1.577179,45,40,11,20,35,58,93,66,195,22,8,1,2,3,1,45,40,24860,441,35,58,93,66,195,22,8,1,2,3,1,1.2,0.6,0.12,8000,16,0,64,13,5,50040,40,304659,55,27,3,2,3,2,2
4,2026-04-21T20:15:06,111.37478,13,7,6,13,38,38,23,28,190,23,6,3,8,2,4,13,7,6960,196,38,38,23,28,190,23,6,3,8,2,4,1.2,0.6,0.12,8000,16,0,65,14,5,50068,34,27420,61,74,2,1,3,3,1
5,2026-04-21T20:15:25,-135.484149,49,33,12,14,85,78,24,5,97,15,3,9,9,4,7,49,33,30480,225,85,78,24,5,97,15,3,9,9,4,7,1.2,0.6,0.12,8000,16,0,17,858,2,34703,1,-1,-1,-1,1,2,2,2,1
6,2026-04-21T20:15:44,11.829556,21,46,10,6,26,57,28,59,185,18,3,10,6,2,1,21,46,20000,49,26,57,28,59,185,18,3,10,6,2,1,1.2,0.6,0.12,8000,16,0,266,98,24,49491,21,142604,30,49,2,2,1,2,2
7,2026-04-21T20:16:04,51.755243,7,32,16,9,8,39,100,54,196,27,1,7,7,6,3,7,32,61760,100,8,39,100,54,196,27,1,7,7,6,3,1.2,0.6,0.12,8000,16,0,1834,1163,102,42283,2,12278,9,105,2,2,1,2,2
8,2026-04-21T20:16:23,-195.644793,33,7,9,10,95,88,28,51,77,28,9,4,7,6,2,33,7,15840,121,95,88,28,51,77,28,9,4,7,6,2,1.2,0.6,0.12,8000,16,0,4808,1000,519,60749,0,-1,-1,-1,1,1,0,0,1
9,2026-04-21T20:16:42,-195.644762,34,7,7,13,57,54,85,23,171,23,2,1,4,3,4,34,7,9380,196,57,54,85,23,171,23,2,1,4,3,4,1.2,0.6,0.12,8000,16,0,4807,1000,519,61265,0,-1,-1,-1,1,1,0,0,1
10,2026-04-21T20:17:02,108.590704,13,7,7,14,34,44,27,28,180,25,6,2,8,3,4,13,7,9380,225,34,44,27,28,180,25,6,2,8,3,4,1.2,0.6,0.12,8000,16,0,86,18,6,50082,35,29448,63,73,2,1,3,3,1
11,2026-04-21T20:17:21,92.31,38,33,10,17,36,50,82,52,189,23,6,2,4,2,2,38,33,20000,324,36,50,82,52,189,23,6,2,4,2,2,1.2,0.6,0.12,8000,16,1,36,8,3,50028,45,183749,58,36,2,2,2,2,2
12,2026-04-21T20:17:41,-192.344762,12,6,6,13,36,41,23,28,193,23,6,2,8,2,4,12,6,6960,196,36,41,23,28,193,23,6,2,8,2,4,1.2,0.6,0.12,8000,16,0,4807,1000,519,62417,0,-1,-1,-1,2,1,0,0,1
13,2026-04-21T20:18:01,-131.208383,42,26,9,13,70,63,25,6,120,18,4,8,8,3,6,42,26,15840,196,70,63,25,6,120,18,4,8,8,3,6,1.2,0.6,0.12,8000,16,0,17,668,2,46696,3,-1,-1,-1,2,2,2,2,1
14,2026-04-21T20:18:21,73.63053,15,39,8,9,35,54,23,54,186,20,4,9,5,2,2,15,39,12320,100,35,54,23,54,186,20,4,9,5,2,2,1.2,0.6,0.12,8000,16,0,197,79,22,49794,23,82640,32,64,2,2,1,2,2
15,2026-04-21T20:18:40,88.013965,12,25,13,9,23,41,85,53,187,24,2,6,8,4,4,12,25,36920,100,23,41,85,53,187,24,2,6,8,4,4,1.2,0.6,0.12,8000,16,0,81,48,11,49973,29,40912,36,73,2,2,1,2,1
16,2026-04-21T20:19:00,-195.644634,26,7,7,12,81,73,24,47,99,27,7,4,8,5,4,26,7,9380,169,81,73,24,47,99,27,7,4,8,5,4,1.2,0.6,0.12,8000,16,0,4807,999,519,56998,0,-1,-1,-1,1,1,0,0,1
17,2026-04-21T20:19:21,-195.644762,32,4,6,13,43,42,80,33,179,23,2,2,5,3,4,32,4,6960,196,43,42,80,33,179,23,2,2,5,3,4,1.2,0.6,0.12,8000,16,0,4807,1000,519,61801,0,-1,-1,-1,1,1,0,0,1
18,2026-04-21T20:19:41,110.546147,13,10,6,13,45,39,20,32,187,23,7,2,8,2,4,13,10,6960,196,45,39,20,32,187,23,7,2,8,2,4,1.2,0.6,0.12,8000,16,0,55,21,5,50049,34,28247,55,80,2,1,3,3,1
19,2026-04-21T20:20:01,137.313434,31,26,7,14,37,36,67,37,186,23,5,4,5,2,4,31,26,9380,225,37,36,67,37,186,23,5,4,5,2,4,1.2,0.6,0.12,8000,16,0,33,9,3,50004,43,80895,56,60,2,2,2,2,1
20,2026-04-21T20:20:21,110.73264,13,7,6,13,37,39,23,28,191,23,6,2,8,2,4,13,7,6960,196,37,39,23,28,191,23,6,2,8,2,4,1.2,0.6,0.12,8000,16,0,69,14,5,50087,34,27655,61,74,2,1,3,3,1
21,2026-04-21T20:20:40,80.525313,35,18,6,12,55,49,23,20,142,21,6,7,7,3,4,35,18,6960,169,55,49,23,20,142,21,6,7,7,3,4,1.2,0.6,0.12,8000,16,0,314,65,17,50017,35,35810,49,67,2,1,3,3,1
22,2026-04-21T20:21:00,76.51242,9,31,6,11,44,39,20,39,191,23,6,7,7,3,3,9,31,6960,144,44,39,20,39,191,23,6,7,7,3,3,1.2,0.6,0.12,8000,16,0,186,82,21,49864,24,35181,33,80,2,2,1,2,2
23,2026-04-21T20:21:20,117.574328,16,18,10,10,38,39,70,39,184,21,4,5,8,3,5,16,18,20000,121,38,39,70,39,184,21,4,5,8,3,5,1.2,0.6,0.12,8000,16,0,35,51,3,49987,34,31170,46,78,2,2,2,2,1
24,2026-04-21T20:21:39,-195.644602,18,7,4,15,66,58,20,36,122,26,6,3,8,4,5,18,7,3440,256,66,58,20,36,122,26,6,3,8,4,5,1.2,0.6,0.12,8000,16,0,4806,999,519,56618,0,-1,-1,-1,1,1,0,0,1
25,2026-04-21T20:21:58,-195.644762,30,12,6,13,28,45,94,24,172,23,4,4,5,2,4,30,12,6960,196,28,45,94,24,172,23,4,4,5,2,4,1.2,0.6,0.12,8000,16,0,4807,1000,519,61625,0,-1,-1,-1,1,1,0,0,1
26,2026-04-21T20:22:18,130.5025,20,17,7,13,50,32,29,42,191,22,7,4,8,1,4,20,17,9380,196,50,32,29,42,191,22,7,4,8,1,4,1.2,0.6,0.12,8000,16,0,36,15,3,50010,37,41846,53,75,2,2,2,3,1
